index,County,Precinct,Registered Voters,"David E. Lucas, Sr. (I) (Dem)_Election Day Votes","David E. Lucas, Sr. (I) (Dem)_Advanced Voting Votes","David E. Lucas, Sr. (I) (Dem)_Absentee by Mail Votes","David E. Lucas, Sr. (I) (Dem)_Provisional Votes","David E. Lucas, Sr. (I) (Dem)_Choice Total",Total,
0,Washington,Riddleville,561,100,75,79,1,255,255,
1,Washington,Warthen,742,152,103,117,1,373,373,
2,Washington,Tennille,2512,320,626,351,3,1300,1300,
3,Washington,Oconee,581,95,97,88,1,281,281,
4,Washington,Harrison,1005,194,160,119,0,473,473,
5,Washington,Davisboro,814,175,141,100,0,416,416,
6,Washington,Sandersville,6221,578,1606,1122,1,3307,3307,
7,Washington,Deepstep,554,115,65,69,1,250,250,
