index,County,Precinct,Registered Voters,Anita Reynolds Howard (Dem)_Election Day Votes,Anita Reynolds Howard (Dem)_Advanced Voting Votes,Anita Reynolds Howard (Dem)_Absentee by Mail Votes,Anita Reynolds Howard (Dem)_Provisional Votes,Anita Reynolds Howard (Dem)_Choice Total,Total,
0,Peach,Byron 1,2636,166,1016,207,1,1390,1390,
1,Peach,Byron 2,5028,290,1777,533,3,2603,2603,
2,Peach,Claude,908,122,227,54,0,403,403,
3,Peach,Fort Valley 1,2669,228,863,339,0,1430,1430,
4,Peach,Fort Valley 2,2670,213,757,316,1,1287,1287,
5,Peach,Fort Valley 3,2720,223,796,473,2,1494,1494,
6,Peach,Powersville,1365,120,416,135,1,672,672,
