index,County,Precinct,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,
0,Peach,Byron 1,2636,202,1307,193,1,1703,1703,
1,Peach,Byron 2,5028,320,2123,478,4,2925,2925,
2,Peach,Claude,908,196,335,70,1,602,602,
3,Peach,Fort Valley 1,2669,202,753,218,1,1174,1174,
4,Peach,Fort Valley 2,2670,173,656,166,1,996,996,
5,Peach,Fort Valley 3,2720,160,561,191,1,913,913,
6,Peach,Powersville,1365,172,556,126,4,858,858,
