index,County,Precinct,Registered Voters,Betty C. Hill (I) (Dem)_Election Day Votes,Betty C. Hill (I) (Dem)_Advanced Voting Votes,Betty C. Hill (I) (Dem)_Absentee by Mail Votes,Betty C. Hill (I) (Dem)_Provisional Votes,Betty C. Hill (I) (Dem)_Choice Total,Total,
0,Peach,Claude,908,45,80,18,0,143,143,
1,Peach,Fort Valley 1,2669,51,150,71,0,272,272,
2,Peach,Fort Valley 2,2670,43,174,34,1,252,252,
3,Peach,Fort Valley 3,2720,127,541,332,0,1000,1000,
