index,County,Precinct,Registered Voters,Roy Lewis (I) (Rep)_Election Day Votes,Roy Lewis (I) (Rep)_Advanced Voting Votes,Roy Lewis (I) (Rep)_Absentee by Mail Votes,Roy Lewis (I) (Rep)_Provisional Votes,Roy Lewis (I) (Rep)_Choice Total,Terrence D. Fannin (Dem)_Election Day Votes,Terrence D. Fannin (Dem)_Advanced Voting Votes,Terrence D. Fannin (Dem)_Absentee by Mail Votes,Terrence D. Fannin (Dem)_Provisional Votes,Terrence D. Fannin (Dem)_Choice Total,Total,
0,Peach,Byron 2,5028,247,1764,322,4,2337,125,786,374,1,1286,3623,
1,Peach,Claude,908,35,84,11,1,131,7,19,16,0,42,173,
2,Peach,Powersville,1365,50,174,31,2,257,8,40,23,1,72,329,
