index,County,Precinct,Registered Voters,Kerry E. Rooks (I) (Ind)_Election Day Votes,Kerry E. Rooks (I) (Ind)_Advanced Voting Votes,Kerry E. Rooks (I) (Ind)_Absentee by Mail Votes,Kerry E. Rooks (I) (Ind)_Provisional Votes,Kerry E. Rooks (I) (Ind)_Choice Total,Total,
0,Peach,Byron 1,2636,193,1264,226,1,1684,1684,
1,Peach,Byron 2,5028,318,2117,560,4,2999,2999,
2,Peach,Claude,908,179,303,70,0,552,552,
3,Peach,Fort Valley 1,2669,230,894,336,1,1461,1461,
4,Peach,Fort Valley 2,2670,205,777,278,1,1261,1261,
5,Peach,Fort Valley 3,2720,193,710,394,1,1298,1298,
6,Peach,Powersville,1365,152,552,149,3,856,856,
