index,County,Precinct,Registered Voters,Ben McDaniel (I) (Rep)_Election Day Votes,Ben McDaniel (I) (Rep)_Advanced Voting Votes,Ben McDaniel (I) (Rep)_Absentee by Mail Votes,Ben McDaniel (I) (Rep)_Provisional Votes,Ben McDaniel (I) (Rep)_Choice Total,Santae' L._Election Day Votes,Santae' L._Advanced Voting Votes,Santae' L._Absentee by Mail Votes,Santae' L._Provisional Votes,Santae' L._Choice Total,Total,
0,Peach,Byron 2,5028,245,1757,347,4,2353,124,777,352,1,1254,3607,
1,Peach,Claude,908,35,84,12,1,132,7,19,15,0,41,173,
2,Peach,Powersville,1365,50,177,35,2,264,7,38,20,1,66,330,
