index,County,Precinct,Registered Voters,Patty Bentley (I) (Dem)_Election Day Votes,Patty Bentley (I) (Dem)_Advanced Voting Votes,Patty Bentley (I) (Dem)_Absentee by Mail Votes,Patty Bentley (I) (Dem)_Provisional Votes,Patty Bentley (I) (Dem)_Choice Total,Total,
0,Peach,Fort Valley 1,2669,225,853,346,1,1425,1425,
1,Peach,Fort Valley 2,2670,211,744,317,1,1273,1273,
2,Peach,Fort Valley 3,2720,222,792,470,2,1486,1486,
