index,County,Precinct,Registered Voters,Sherry Gonzalez (Rep)_Election Day Votes,Sherry Gonzalez (Rep)_Advanced Voting Votes,Sherry Gonzalez (Rep)_Absentee by Mail Votes,Sherry Gonzalez (Rep)_Provisional Votes,Sherry Gonzalez (Rep)_Choice Total,Total,
0,Peach,Byron 1,2636,197,1276,194,1,1668,1668,
1,Peach,Byron 2,5028,318,2094,461,5,2878,2878,
2,Peach,Claude,908,190,329,70,0,589,589,
3,Peach,Fort Valley 1,2669,206,738,205,1,1150,1150,
4,Peach,Fort Valley 2,2670,176,655,159,1,991,991,
5,Peach,Fort Valley 3,2720,173,559,180,0,912,912,
6,Peach,Powersville,1365,169,554,120,2,845,845,
