index,County,Precinct,Registered Voters,Robert Dickey (I) (Rep)_Election Day Votes,Robert Dickey (I) (Rep)_Advanced Voting Votes,Robert Dickey (I) (Rep)_Absentee by Mail Votes,Robert Dickey (I) (Rep)_Provisional Votes,Robert Dickey (I) (Rep)_Choice Total,Total,
0,Peach,Byron 1,2636,200,1297,201,2,1700,1700,
1,Peach,Byron 2,5028,326,2128,476,3,2933,2933,
2,Peach,Claude,908,198,339,71,1,609,609,
3,Peach,Powersville,1365,173,562,125,3,863,863,
