index,County,Precinct,Registered Voters,Wade Yoder (I) (Rep)_Election Day Votes,Wade Yoder (I) (Rep)_Advanced Voting Votes,Wade Yoder (I) (Rep)_Absentee by Mail Votes,Wade Yoder (I) (Rep)_Provisional Votes,Wade Yoder (I) (Rep)_Choice Total,Laronda Eason (Dem)_Election Day Votes,Laronda Eason (Dem)_Advanced Voting Votes,Laronda Eason (Dem)_Absentee by Mail Votes,Laronda Eason (Dem)_Provisional Votes,Laronda Eason (Dem)_Choice Total,Total,
0,Peach,Byron 1,2636,167,1171,154,2,1494,69,308,124,0,501,1995,
1,Peach,Byron 2,5028,249,1812,341,4,2406,119,748,358,1,1226,3632,
2,Peach,Claude,908,185,319,55,1,560,22,51,30,0,103,663,
3,Peach,Fort Valley 1,2669,117,542,150,1,810,150,524,250,0,924,1734,
4,Peach,Fort Valley 2,2670,110,450,97,1,658,148,526,265,0,939,1597,
5,Peach,Fort Valley 3,2720,43,232,76,0,351,191,674,427,2,1294,1645,
6,Peach,Powersville,1365,158,510,103,3,774,24,143,74,1,242,1016,
