index,County,Precinct,Registered Voters,W. L. Brown (I) (Dem)_Election Day Votes,W. L. Brown (I) (Dem)_Advanced Voting Votes,W. L. Brown (I) (Dem)_Absentee by Mail Votes,W. L. Brown (I) (Dem)_Provisional Votes,W. L. Brown (I) (Dem)_Choice Total,Total,
0,Peach,Byron 1,2636,177,1119,228,1,1525,1525,
1,Peach,Byron 2,5028,302,1935,580,4,2821,2821,
2,Peach,Claude,908,143,264,62,1,470,470,
3,Peach,Fort Valley 1,2669,235,960,371,1,1567,1567,
4,Peach,Fort Valley 2,2670,217,810,333,1,1361,1361,
5,Peach,Fort Valley 3,2720,225,795,469,2,1491,1491,
6,Peach,Powersville,1365,135,460,152,2,749,749,
