index,County,Precinct,Registered Voters,Gloria Frazier (I) (Dem)_Election Day Votes,Gloria Frazier (I) (Dem)_Advanced Voting Votes,Gloria Frazier (I) (Dem)_Absentee by Mail Votes,Gloria Frazier (I) (Dem)_Provisional Votes,Gloria Frazier (I) (Dem)_Choice Total,Total,
0,Burke,Alexander,389,70,41,72,0,183,183,
1,Burke,Four Points,2558,370,473,232,0,1075,1075,
2,Burke,Girard,733,142,94,95,0,331,331,
3,Burke,Gough,434,72,58,99,0,229,229,
4,Burke,Greenscut,1036,168,189,111,0,468,468,
5,Burke,Keysville,476,123,29,33,0,185,185,
6,Burke,Midville,492,128,35,65,0,228,228,
7,Burke,Munnerlyn,299,52,48,29,0,129,129,
8,Burke,Sardis,1049,228,138,77,0,443,443,
9,Burke,Scotts Crossroads,294,55,48,45,0,148,148,
10,Burke,Telfair,1121,152,201,139,0,492,492,
11,Burke,St Clair,442,75,82,71,0,228,228,
12,Burke,Vidette,313,70,28,42,0,140,140,
13,Burke,North Waynesboro,2949,312,660,516,0,1488,1488,
14,Burke,South Waynesboro,3290,347,910,395,0,1652,1652,
15,Burke,Blakeney,681,90,156,69,0,315,315,
