index,County,Precinct,Registered Voters,Rodney A. Braswell (Rep)_Election Day Votes,Rodney A. Braswell (Rep)_Advanced Voting Votes,Rodney A. Braswell (Rep)_Absentee by Mail Votes,Rodney A. Braswell (Rep)_Provisional Votes,Rodney A. Braswell (Rep)_Choice Total,"Lucious Abrams, Jr. (I) (Dem)_Election Day Votes","Lucious Abrams, Jr. (I) (Dem)_Advanced Voting Votes","Lucious Abrams, Jr. (I) (Dem)_Absentee by Mail Votes","Lucious Abrams, Jr. (I) (Dem)_Provisional Votes","Lucious Abrams, Jr. (I) (Dem)_Choice Total",Total,
0,Burke,Gough,434,35,49,15,0,99,56,48,97,0,201,300,
1,Burke,Keysville,476,74,43,24,0,141,84,8,21,0,113,254,
2,Burke,Midville,492,85,21,12,0,118,94,23,61,0,178,296,
3,Burke,Munnerlyn,299,51,46,4,0,101,32,26,29,0,87,188,
4,Burke,Scotts Crossroads,294,35,16,5,0,56,40,40,46,0,126,182,
5,Burke,St Clair,442,58,60,24,0,142,48,60,59,0,167,309,
6,Burke,Vidette,313,60,18,9,0,87,49,20,46,0,115,202,
7,Burke,Blakeney,681,31,106,10,0,147,75,104,69,0,248,395,
