index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Burke,Alexander,389,85,61,14,0,160,23,16,66,0,105,265,
1,Burke,Four Points,2558,449,501,147,0,1097,125,218,148,0,491,1588,
2,Burke,Girard,733,106,77,40,0,223,93,57,83,0,233,456,
3,Burke,Gough,434,41,60,18,0,119,49,39,96,0,184,303,
4,Burke,Greenscut,1036,144,221,43,0,408,80,94,87,0,261,669,
5,Burke,Keysville,476,63,44,15,0,122,95,8,32,0,135,257,
6,Burke,Midville,492,92,20,12,0,124,83,25,63,0,171,295,
7,Burke,Munnerlyn,299,62,48,3,0,113,23,25,29,0,77,190,
8,Burke,Sardis,1049,213,121,57,0,391,123,76,51,0,250,641,
9,Burke,Scotts Crossroads,294,39,20,5,0,64,37,37,44,0,118,182,
10,Burke,Telfair,1121,158,170,56,0,384,64,124,116,0,304,688,
11,Burke,St Clair,442,68,84,25,0,177,38,35,57,0,130,307,
12,Burke,Vidette,313,75,23,11,0,109,37,15,43,0,95,204,
13,Burke,North Waynesboro,2949,88,344,73,0,505,257,470,493,0,1220,1725,
14,Burke,South Waynesboro,3290,233,920,162,0,1315,206,434,315,0,955,2270,
15,Burke,Blakeney,681,35,117,10,0,162,69,91,70,0,230,392,
