index,County,Precinct,Registered Voters,Leonard D. Hill_Election Day Votes,Leonard D. Hill_Advanced Voting Votes,Leonard D. Hill_Absentee by Mail Votes,Leonard D. Hill_Provisional Votes,Leonard D. Hill_Choice Total,Total,
0,Burke,Alexander,389,92,52,60,0,204,204,
1,Burke,Four Points,2558,442,564,229,0,1235,1235,
2,Burke,Girard,733,145,94,96,0,335,335,
3,Burke,Gough,434,76,76,88,0,240,240,
4,Burke,Greenscut,1036,180,245,106,0,531,531,
5,Burke,Keysville,476,109,35,32,0,176,176,
6,Burke,Midville,492,134,29,57,0,220,220,
7,Burke,Munnerlyn,299,65,51,27,0,143,143,
8,Burke,Sardis,1049,250,152,72,0,474,474,
9,Burke,Scotts Crossroads,294,55,46,34,0,135,135,
10,Burke,Telfair,1121,171,233,115,0,519,519,
11,Burke,St Clair,442,79,96,66,0,241,241,
12,Burke,Vidette,313,81,31,41,0,153,153,
13,Burke,North Waynesboro,2949,276,639,402,0,1317,1317,
14,Burke,South Waynesboro,3290,369,1127,379,0,1875,1875,
15,Burke,Blakeney,681,81,177,56,0,314,314,
