index,County,Precinct,Registered Voters,Max Burns (Rep)_Election Day Votes,Max Burns (Rep)_Advanced Voting Votes,Max Burns (Rep)_Absentee by Mail Votes,Max Burns (Rep)_Provisional Votes,Max Burns (Rep)_Choice Total,Ceretta Smith (Dem)_Election Day Votes,Ceretta Smith (Dem)_Advanced Voting Votes,Ceretta Smith (Dem)_Absentee by Mail Votes,Ceretta Smith (Dem)_Provisional Votes,Ceretta Smith (Dem)_Choice Total,Total,
0,Burke,Alexander,389,86,55,15,0,156,24,18,66,0,108,264,
1,Burke,Four Points,2558,443,487,138,0,1068,126,227,153,0,506,1574,
2,Burke,Girard,733,106,80,41,0,227,93,56,84,0,233,460,
3,Burke,Gough,434,40,61,16,0,117,52,39,98,0,189,306,
4,Burke,Greenscut,1036,139,220,42,0,401,86,94,88,0,268,669,
5,Burke,Keysville,476,62,40,19,0,121,97,11,28,0,136,257,
6,Burke,Midville,492,91,20,12,0,123,85,24,63,0,172,295,
7,Burke,Munnerlyn,299,66,47,4,0,117,22,26,30,0,78,195,
8,Burke,Sardis,1049,209,119,58,0,386,124,78,52,0,254,640,
9,Burke,Scotts Crossroads,294,39,17,4,0,60,37,40,46,0,123,183,
10,Burke,Telfair,1121,155,169,52,0,376,68,127,118,0,313,689,
11,Burke,St Clair,442,68,83,23,0,174,40,36,60,0,136,310,
12,Burke,Vidette,313,73,25,10,0,108,39,15,45,0,99,207,
13,Burke,North Waynesboro,2949,82,341,65,0,488,273,480,500,0,1253,1741,
14,Burke,South Waynesboro,3290,224,915,160,0,1299,216,441,315,0,972,2271,
15,Burke,Blakeney,681,33,115,10,0,158,72,93,72,0,237,395,
