index,County,Precinct,Registered Voters,"James L. McAfee, Jr. (I) (Rep)_Election Day Votes","James L. McAfee, Jr. (I) (Rep)_Advanced Voting Votes","James L. McAfee, Jr. (I) (Rep)_Absentee by Mail Votes","James L. McAfee, Jr. (I) (Rep)_Provisional Votes","James L. McAfee, Jr. (I) (Rep)_Choice Total",Total,
0,Johnson,Wrightsville,3113,34,292,79,0,405,405,
1,Johnson,Bray,790,117,184,32,0,333,333,
