index,County,Precinct,Registered Voters,Greg Rowland (Rep)_Election Day Votes,Greg Rowland (Rep)_Advanced Voting Votes,Greg Rowland (Rep)_Absentee by Mail Votes,Greg Rowland (Rep)_Provisional Votes,Greg Rowland (Rep)_Choice Total,Rusty P. Oxford (I) (Dem)_Election Day Votes,Rusty P. Oxford (I) (Dem)_Advanced Voting Votes,Rusty P. Oxford (I) (Dem)_Absentee by Mail Votes,Rusty P. Oxford (I) (Dem)_Provisional Votes,Rusty P. Oxford (I) (Dem)_Choice Total,Total,
0,Johnson,Wrightsville,3113,120,722,135,0,977,137,719,356,0,1212,2189,
1,Johnson,Smith,796,176,220,49,0,445,76,34,19,0,129,574,
2,Johnson,Bray,790,97,191,31,0,319,83,131,74,0,288,607,
3,Johnson,Kite,912,225,246,55,0,526,62,59,20,0,141,667,
