index,County,Precinct,Registered Voters,Bruce W. Veal (Rep)_Election Day Votes,Bruce W. Veal (Rep)_Advanced Voting Votes,Bruce W. Veal (Rep)_Absentee by Mail Votes,Bruce W. Veal (Rep)_Provisional Votes,Bruce W. Veal (Rep)_Choice Total,"Jerronney """"Ron"""" Darrisaw (I) (Dem)_Election Day Votes","Jerronney """"Ron"""" Darrisaw (I) (Dem)_Advanced Voting Votes","Jerronney """"Ron"""" Darrisaw (I) (Dem)_Absentee by Mail Votes","Jerronney """"Ron"""" Darrisaw (I) (Dem)_Provisional Votes","Jerronney """"Ron"""" Darrisaw (I) (Dem)_Choice Total",Total,
0,Johnson,Wrightsville,3113,34,184,47,0,265,31,126,152,0,309,574,
1,Johnson,Bray,790,23,83,16,0,122,33,36,51,0,120,242,
