index,County,Precinct,Registered Voters,Craig Fraser (I) (Rep)_Election Day Votes,Craig Fraser (I) (Rep)_Advanced Voting Votes,Craig Fraser (I) (Rep)_Absentee by Mail Votes,Craig Fraser (I) (Rep)_Provisional Votes,Craig Fraser (I) (Rep)_Choice Total,Adriane Latrell Love (Dem)_Election Day Votes,Adriane Latrell Love (Dem)_Advanced Voting Votes,Adriane Latrell Love (Dem)_Absentee by Mail Votes,Adriane Latrell Love (Dem)_Provisional Votes,Adriane Latrell Love (Dem)_Choice Total,Total,
0,Johnson,Wrightsville,3113,120,900,171,0,1191,131,528,310,0,969,2160,
1,Johnson,Smith,796,202,216,55,0,473,52,36,14,0,102,575,
2,Johnson,Bray,790,126,252,47,0,425,51,65,63,0,179,604,
3,Johnson,Kite,912,238,274,56,0,568,43,29,19,0,91,659,
