index,County,Precinct,Registered Voters,Roger Price (I) (Rep)_Election Day Votes,Roger Price (I) (Rep)_Advanced Voting Votes,Roger Price (I) (Rep)_Absentee by Mail Votes,Roger Price (I) (Rep)_Provisional Votes,Roger Price (I) (Rep)_Choice Total,Total,
0,Johnson,Wrightsville,3113,201,1183,331,0,1715,1715,
1,Johnson,Smith,796,237,238,63,0,538,538,
2,Johnson,Bray,790,164,289,70,0,523,523,
3,Johnson,Kite,912,272,290,63,0,625,625,
