index,County,Precinct,Registered Voters,Sherry Duncan Vickers (I) (Rep)_Election Day Votes,Sherry Duncan Vickers (I) (Rep)_Advanced Voting Votes,Sherry Duncan Vickers (I) (Rep)_Absentee by Mail Votes,Sherry Duncan Vickers (I) (Rep)_Provisional Votes,Sherry Duncan Vickers (I) (Rep)_Choice Total,Total,
0,Johnson,Wrightsville,3113,222,1282,365,0,1869,1869,
1,Johnson,Smith,796,241,248,62,0,551,551,
2,Johnson,Bray,790,164,294,78,0,536,536,
3,Johnson,Kite,912,265,289,63,0,617,617,
