index,County,Precinct,Registered Voters,Max Burns (Rep)_Election Day Votes,Max Burns (Rep)_Advanced Voting Votes,Max Burns (Rep)_Absentee by Mail Votes,Max Burns (Rep)_Provisional Votes,Max Burns (Rep)_Choice Total,Ceretta Smith (Dem)_Election Day Votes,Ceretta Smith (Dem)_Advanced Voting Votes,Ceretta Smith (Dem)_Absentee by Mail Votes,Ceretta Smith (Dem)_Provisional Votes,Ceretta Smith (Dem)_Choice Total,Total,
0,Johnson,Wrightsville,3113,132,941,163,0,1236,118,459,287,0,864,2100,
1,Johnson,Smith,796,223,231,54,0,508,29,17,13,0,59,567,
2,Johnson,Bray,790,144,262,51,0,457,32,55,48,0,135,592,
3,Johnson,Kite,912,259,286,63,0,608,21,16,13,0,50,658,
