index,County,Precinct,Registered Voters,Larry Pope (I) (Rep)_Election Day Votes,Larry Pope (I) (Rep)_Advanced Voting Votes,Larry Pope (I) (Rep)_Absentee by Mail Votes,Larry Pope (I) (Rep)_Provisional Votes,Larry Pope (I) (Rep)_Choice Total,Total,
0,Johnson,Wrightsville,3113,34,256,35,0,325,325,
1,Johnson,Kite,912,224,233,56,0,513,513,
