County,Bo Hatchett (Rep)_Election Day Votes,Bo Hatchett (Rep)_Absentee by Mail Votes,Bo Hatchett (Rep)_Advanced Voting Votes,Bo Hatchett (Rep)_Provisional Votes,Bo Hatchett (Rep)_TOTAL VOTES,Dee Daley (Dem)_Election Day Votes,Dee Daley (Dem)_Absentee by Mail Votes,Dee Daley (Dem)_Advanced Voting Votes,Dee Daley (Dem)_Provisional Votes,Dee Daley (Dem)_TOTAL VOTES,Total,
Banks,1603,1035,5029,11,7678,143,319,415,3,880,8558,
Franklin,2279,1428,5344,2,9053,317,560,590,0,1467,10520,
Habersham,2683,3022,11274,19,16998,438,1144,1455,2,3039,20037,
Hall,476,197,744,0,1417,171,160,286,0,617,2034,
Jackson,2310,2043,9112,1,13466,448,1043,1511,0,3002,16468,
Rabun,1180,1690,4544,0,7414,205,849,888,0,1942,9356,
Stephens,1211,1428,6728,4,9371,294,681,1145,0,2120,11491,
Towns,962,1233,4089,7,6291,121,653,649,1,1424,7715,
