County,William Park Freeman (Rep)_Election Day Votes,William Park Freeman (Rep)_Absentee by Mail Votes,William Park Freeman (Rep)_Advanced Voting Votes,William Park Freeman (Rep)_Provisional Votes,William Park Freeman (Rep)_TOTAL VOTES,Kim Jackson (Dem)_Election Day Votes,Kim Jackson (Dem)_Absentee by Mail Votes,Kim Jackson (Dem)_Advanced Voting Votes,Kim Jackson (Dem)_Provisional Votes,Kim Jackson (Dem)_TOTAL VOTES,Total,
DeKalb,2110,3128,4379,36,9653,6762,15687,23766,187,46402,56055,
Gwinnett,1291,1496,2383,5,5175,2242,3757,5733,10,11742,16917,
