County,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_TOTAL VOTES,Total,
Colquitt,4651,1835,6777,11,13274,13274,
Decatur,1893,1521,5617,11,9042,9042,
Early,1052,674,1932,0,3658,3658,
Grady,2328,1487,4634,0,8449,8449,
Miller,577,348,1361,2,2288,2288,
Mitchell,1379,613,1629,2,3623,3623,
Seminole,1060,389,1706,0,3155,3155,
Thomas,2615,2147,8748,3,13513,13513,
