County,Steve Gooch (I) (Rep)_Election Day Votes,Steve Gooch (I) (Rep)_Absentee by Mail Votes,Steve Gooch (I) (Rep)_Advanced Voting Votes,Steve Gooch (I) (Rep)_Provisional Votes,Steve Gooch (I) (Rep)_TOTAL VOTES,June Krise (Dem)_Election Day Votes,June Krise (Dem)_Absentee by Mail Votes,June Krise (Dem)_Advanced Voting Votes,June Krise (Dem)_Provisional Votes,June Krise (Dem)_TOTAL VOTES,Total,
Dawson,2360,2034,9048,2,13444,234,924,1074,1,2233,15677,
Fannin,4044,2270,5632,19,11965,369,1068,958,2,2397,14362,
Forsyth,184,162,821,0,1167,38,91,196,0,325,1492,
Gilmer,4260,2206,6768,11,13245,423,1181,1115,1,2720,15965,
Lumpkin,2037,2123,8060,0,12220,298,1100,1463,0,2861,15081,
Pickens,3161,1258,3966,1,8386,407,738,705,0,1850,10236,
Union,3229,2202,6701,9,12141,378,1259,1285,1,2923,15064,
White,3460,2135,6595,5,12195,368,898,1048,0,2314,14509,
