County,Frank Ginn (I) (Rep)_Election Day Votes,Frank Ginn (I) (Rep)_Absentee by Mail Votes,Frank Ginn (I) (Rep)_Advanced Voting Votes,Frank Ginn (I) (Rep)_Provisional Votes,Frank Ginn (I) (Rep)_TOTAL VOTES,Dawn Johnson (Dem)_Election Day Votes,Dawn Johnson (Dem)_Absentee by Mail Votes,Dawn Johnson (Dem)_Advanced Voting Votes,Dawn Johnson (Dem)_Provisional Votes,Dawn Johnson (Dem)_TOTAL VOTES,Total,
Barrow,5850,4209,16732,3,26794,1692,3366,4931,3,9992,36786,
Clarke,1572,1915,2757,3,6247,2259,5560,5872,10,13701,19948,
Jackson,2670,2497,10950,4,16121,534,1529,2065,1,4129,20250,
Madison,3422,1737,5927,3,11089,765,1139,1452,1,3357,14446,
