County,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_TOTAL VOTES,Total,
Carroll,2308,794,3140,1,6243,6243,
Coweta,21127,13068,27884,14,62093,62093,
Fulton,209,239,629,1,1078,1078,
Heard,1666,761,2241,1,4669,4669,
Troup,1991,1369,5138,7,8505,8505,
