County,Horacena Tate (I) (Dem)_Election Day Votes,Horacena Tate (I) (Dem)_Absentee by Mail Votes,Horacena Tate (I) (Dem)_Advanced Voting Votes,Horacena Tate (I) (Dem)_Provisional Votes,Horacena Tate (I) (Dem)_TOTAL VOTES,Total,
Cobb,4242,11719,14380,20,30361,30361,
Fulton,5873,13252,29569,399,49093,49093,
