County,Burt Jones (I) (Rep)_Election Day Votes,Burt Jones (I) (Rep)_Absentee by Mail Votes,Burt Jones (I) (Rep)_Advanced Voting Votes,Burt Jones (I) (Rep)_Provisional Votes,Burt Jones (I) (Rep)_TOTAL VOTES,Veronica Brinson (Dem)_Election Day Votes,Veronica Brinson (Dem)_Absentee by Mail Votes,Veronica Brinson (Dem)_Advanced Voting Votes,Veronica Brinson (Dem)_Provisional Votes,Veronica Brinson (Dem)_TOTAL VOTES,Total,
Baldwin,1865,1377,5825,4,9071,1492,2832,4311,1,8636,17707,
Bibb,739,652,1548,0,2939,638,901,1655,2,3196,6135,
Butts,836,1214,6438,2,8490,358,855,1780,1,2994,11484,
Greene,858,1423,5118,3,7402,544,1334,1735,7,3620,11022,
Jasper,1527,861,3462,12,5862,292,616,716,1,1625,7487,
Jones,1517,604,2431,3,4555,322,525,718,1,1566,6121,
Morgan,1896,1007,5492,3,8398,472,948,1630,2,3052,11450,
Putnam,1550,1827,4983,1,8361,438,1361,1400,0,3199,11560,
Walton,2108,851,3293,0,6252,309,497,621,0,1427,7679,
