County,Bill Cowsert (I) (Rep)_Election Day Votes,Bill Cowsert (I) (Rep)_Absentee by Mail Votes,Bill Cowsert (I) (Rep)_Advanced Voting Votes,Bill Cowsert (I) (Rep)_Provisional Votes,Bill Cowsert (I) (Rep)_TOTAL VOTES,Zachary Perry (Dem)_Election Day Votes,Zachary Perry (Dem)_Absentee by Mail Votes,Zachary Perry (Dem)_Advanced Voting Votes,Zachary Perry (Dem)_Provisional Votes,Zachary Perry (Dem)_TOTAL VOTES,Total,
Clarke,2099,2829,4868,7,9803,2799,7773,9724,18,20314,30117,
Oconee,2812,3104,11820,2,17738,633,2581,3855,2,7071,24809,
Walton,6894,5365,19240,0,31499,1710,3433,5349,0,10492,41991,
