County,Matt Reeves (Rep)_Election Day Votes,Matt Reeves (Rep)_Absentee by Mail Votes,Matt Reeves (Rep)_Advanced Voting Votes,Matt Reeves (Rep)_Provisional Votes,Matt Reeves (Rep)_TOTAL VOTES,Michelle Au (Dem)_Election Day Votes,Michelle Au (Dem)_Absentee by Mail Votes,Michelle Au (Dem)_Advanced Voting Votes,Michelle Au (Dem)_Provisional Votes,Michelle Au (Dem)_TOTAL VOTES,Total,
Fulton,1795,3146,9376,67,14384,1120,6233,9618,56,17027,31411,
Gwinnett,5172,6779,12000,23,23974,4656,12224,15228,46,32154,56128,
