County,Donzella James (I) (Dem)_Election Day Votes,Donzella James (I) (Dem)_Absentee by Mail Votes,Donzella James (I) (Dem)_Advanced Voting Votes,Donzella James (I) (Dem)_Provisional Votes,Donzella James (I) (Dem)_TOTAL VOTES,Total,
Douglas,5750,11763,21509,39,39061,39061,
Fulton,3984,10318,28587,210,43099,43099,
