County,Ben Watson (I) (Rep)_Election Day Votes,Ben Watson (I) (Rep)_Absentee by Mail Votes,Ben Watson (I) (Rep)_Advanced Voting Votes,Ben Watson (I) (Rep)_Provisional Votes,Ben Watson (I) (Rep)_TOTAL VOTES,Total,
Bryan,3072,2380,11830,5,17287,17287,
Chatham,13248,11874,18972,68,44162,44162,
Liberty,2023,2264,6527,0,10814,10814,
