County,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_TOTAL VOTES,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_TOTAL VOTES,Total,
Crisp,982,860,3277,3,5122,519,769,1351,1,2640,7762,
Dodge,2242,717,2704,5,5668,513,517,929,0,1959,7627,
Dooly,459,255,1392,2,2108,430,456,872,2,1760,3868,
Lee,2992,1265,7665,4,11926,876,1128,2319,2,4325,16251,
Sumter,711,277,1227,1,2216,291,517,729,2,1539,3755,
Tift,2692,1299,6813,13,10817,1039,1324,2448,14,4825,15642,
Turner,367,231,1712,1,2311,316,284,731,1,1332,3643,
Wilcox,479,180,583,0,1242,218,130,220,0,568,1810,
Worth,2726,789,3229,0,6744,539,767,924,0,2230,8974,
