County,Billy Hickman (I) (Rep)_Election Day Votes,Billy Hickman (I) (Rep)_Absentee by Mail Votes,Billy Hickman (I) (Rep)_Advanced Voting Votes,Billy Hickman (I) (Rep)_Provisional Votes,Billy Hickman (I) (Rep)_TOTAL VOTES,Total,
Bulloch,7996,4239,11598,40,23873,23873,
Candler,1859,547,1323,0,3729,3729,
Effingham,8351,3522,14870,20,26763,26763,
Emanuel,1610,826,2460,1,4897,4897,
Evans,593,635,2231,0,3459,3459,
Tattnall,755,368,1649,0,2772,2772,
