County,Jason Anavitarte (Rep)_Election Day Votes,Jason Anavitarte (Rep)_Absentee by Mail Votes,Jason Anavitarte (Rep)_Advanced Voting Votes,Jason Anavitarte (Rep)_Provisional Votes,Jason Anavitarte (Rep)_TOTAL VOTES,Tianna Smith (Dem)_Election Day Votes,Tianna Smith (Dem)_Absentee by Mail Votes,Tianna Smith (Dem)_Advanced Voting Votes,Tianna Smith (Dem)_Provisional Votes,Tianna Smith (Dem)_TOTAL VOTES,Total,
Haralson,4170,1761,6095,4,12030,401,634,728,0,1763,13793,
Paulding,7223,7602,25879,0,40704,2822,7688,11305,0,21815,62519,
Polk,2773,1686,8762,14,13235,596,1015,1918,7,3536,16771,
