index,County,Precinct,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,
0,Polk,Aragon,3224,483,1187,206,3,1879,67,207,103,0,377,2256,
1,Polk,Blooming Grove,1659,279,557,104,1,941,38,99,49,2,188,1129,
2,Polk,Cedartown,6205,468,1716,489,4,2677,198,635,402,3,1238,3915,
3,Polk,Fish Creek,2566,375,1005,170,2,1552,52,140,91,0,283,1835,
4,Polk,Lake Creek,2828,387,1281,171,0,1839,48,172,71,0,291,2130,
5,Polk,Rockmart,5746,488,2313,324,1,3126,148,547,249,3,947,4073,
6,Polk,Youngs Grove,1961,316,762,161,1,1240,35,83,49,0,167,1407,
