index,County,Precinct,Registered Voters,Johnny Moats (I) (Rep)_Election Day Votes,Johnny Moats (I) (Rep)_Advanced Voting Votes,Johnny Moats (I) (Rep)_Absentee by Mail Votes,Johnny Moats (I) (Rep)_Provisional Votes,Johnny Moats (I) (Rep)_Choice Total,Total,
0,Polk,Aragon,3224,528,1306,253,3,2090,2090,
1,Polk,Blooming Grove,1659,310,622,126,3,1061,1061,
2,Polk,Cedartown,6205,610,2142,711,8,3471,3471,
3,Polk,Fish Creek,2566,416,1093,213,1,1723,1723,
4,Polk,Lake Creek,2828,428,1381,217,0,2026,2026,
5,Polk,Rockmart,5746,590,2601,471,2,3664,3664,
6,Polk,Youngs Grove,1961,336,800,179,1,1316,1316,
