index,County,Precinct,Registered Voters,Scotty Tillery (I) (Rep)_Election Day Votes,Scotty Tillery (I) (Rep)_Advanced Voting Votes,Scotty Tillery (I) (Rep)_Absentee by Mail Votes,Scotty Tillery (I) (Rep)_Provisional Votes,Scotty Tillery (I) (Rep)_Choice Total,Total,
0,Polk,Aragon,3224,525,1291,245,3,2064,2064,
1,Polk,Blooming Grove,1659,308,613,121,3,1045,1045,
2,Polk,Cedartown,6205,612,2140,705,8,3465,3465,
3,Polk,Fish Creek,2566,413,1065,201,1,1680,1680,
4,Polk,Lake Creek,2828,421,1351,217,0,1989,1989,
5,Polk,Rockmart,5746,579,2563,460,3,3605,3605,
6,Polk,Youngs Grove,1961,332,800,172,1,1305,1305,
