index,County,Precinct,Registered Voters,Kristy W. Gober (I) (Rep)_Election Day Votes,Kristy W. Gober (I) (Rep)_Advanced Voting Votes,Kristy W. Gober (I) (Rep)_Absentee by Mail Votes,Kristy W. Gober (I) (Rep)_Provisional Votes,Kristy W. Gober (I) (Rep)_Choice Total,Total,
0,Polk,Aragon,3224,99,395,59,0,553,553,
1,Polk,Fish Creek,2566,361,991,189,1,1542,1542,
2,Polk,Rockmart,5746,53,394,67,0,514,514,
3,Polk,Youngs Grove,1961,43,104,23,0,170,170,
