index,County,Precinct,Registered Voters,Jack Browning (I) (Rep)_Election Day Votes,Jack Browning (I) (Rep)_Advanced Voting Votes,Jack Browning (I) (Rep)_Absentee by Mail Votes,Jack Browning (I) (Rep)_Provisional Votes,Jack Browning (I) (Rep)_Choice Total,Total,
0,Polk,Aragon,3224,524,1290,246,3,2063,2063,
1,Polk,Blooming Grove,1659,305,607,122,3,1037,1037,
2,Polk,Cedartown,6205,602,2095,691,6,3394,3394,
3,Polk,Fish Creek,2566,401,1069,210,2,1682,1682,
4,Polk,Lake Creek,2828,419,1357,207,0,1983,1983,
5,Polk,Rockmart,5746,575,2552,460,2,3589,3589,
6,Polk,Youngs Grove,1961,333,794,170,1,1298,1298,
