index,County,Precinct,Registered Voters,Norman Smith (Rep)_Election Day Votes,Norman Smith (Rep)_Advanced Voting Votes,Norman Smith (Rep)_Absentee by Mail Votes,Norman Smith (Rep)_Provisional Votes,Norman Smith (Rep)_Choice Total,Total,
0,Polk,Aragon,3224,524,1295,246,3,2068,2068,
1,Polk,Blooming Grove,1659,307,608,124,3,1042,1042,
2,Polk,Cedartown,6205,614,2125,697,8,3444,3444,
3,Polk,Fish Creek,2566,401,1084,208,1,1694,1694,
4,Polk,Lake Creek,2828,425,1367,215,0,2007,2007,
5,Polk,Rockmart,5746,582,2574,464,1,3621,3621,
6,Polk,Youngs Grove,1961,337,805,175,1,1318,1318,
