index,County,Precinct,Registered Voters,Tony L. Brazier (Rep)_Election Day Votes,Tony L. Brazier (Rep)_Advanced Voting Votes,Tony L. Brazier (Rep)_Absentee by Mail Votes,Tony L. Brazier (Rep)_Provisional Votes,Tony L. Brazier (Rep)_Choice Total,Total,
0,Polk,Aragon,3224,524,1291,240,3,2058,2058,
1,Polk,Blooming Grove,1659,306,596,121,3,1026,1026,
2,Polk,Cedartown,6205,603,2105,692,6,3406,3406,
3,Polk,Fish Creek,2566,410,1077,206,1,1694,1694,
4,Polk,Lake Creek,2828,417,1345,205,0,1967,1967,
5,Polk,Rockmart,5746,582,2538,460,2,3582,3582,
6,Polk,Youngs Grove,1961,330,798,171,1,1300,1300,
