index,County,Precinct,Registered Voters,Stacie M. Baines (I) (Rep)_Election Day Votes,Stacie M. Baines (I) (Rep)_Advanced Voting Votes,Stacie M. Baines (I) (Rep)_Absentee by Mail Votes,Stacie M. Baines (I) (Rep)_Provisional Votes,Stacie M. Baines (I) (Rep)_Choice Total,Total,
0,Polk,Aragon,3224,524,1294,244,3,2065,2065,
1,Polk,Blooming Grove,1659,306,592,121,3,1022,1022,
2,Polk,Cedartown,6205,601,2096,688,8,3393,3393,
3,Polk,Fish Creek,2566,403,1073,205,1,1682,1682,
4,Polk,Lake Creek,2828,422,1365,210,0,1997,1997,
5,Polk,Rockmart,5746,588,2555,464,1,3608,3608,
6,Polk,Youngs Grove,1961,338,796,172,1,1307,1307,
