index,County,Precinct,Registered Voters,Amanda_Election Day Votes,Amanda_Advanced Voting Votes,Amanda_Absentee by Mail Votes,Amanda_Provisional Votes,Amanda_Choice Total,Total,
0,Polk,Aragon,3224,523,1295,243,3,2064,2064,
1,Polk,Blooming Grove,1659,306,607,119,3,1035,1035,
2,Polk,Cedartown,6205,607,2094,678,8,3387,3387,
3,Polk,Fish Creek,2566,400,1075,207,1,1683,1683,
4,Polk,Lake Creek,2828,425,1357,212,0,1994,1994,
5,Polk,Rockmart,5746,579,2566,463,2,3610,3610,
6,Polk,Youngs Grove,1961,338,803,173,1,1315,1315,
