index,County,Precinct,Registered Voters,Trey Kelley (I) (Rep)_Election Day Votes,Trey Kelley (I) (Rep)_Advanced Voting Votes,Trey Kelley (I) (Rep)_Absentee by Mail Votes,Trey Kelley (I) (Rep)_Provisional Votes,Trey Kelley (I) (Rep)_Choice Total,Lyndsay Arrendale (Dem)_Election Day Votes,Lyndsay Arrendale (Dem)_Advanced Voting Votes,Lyndsay Arrendale (Dem)_Absentee by Mail Votes,Lyndsay Arrendale (Dem)_Provisional Votes,Lyndsay Arrendale (Dem)_Choice Total,Total,
0,Polk,Aragon,3224,441,1128,205,3,1777,93,257,108,0,458,2235,
1,Polk,Blooming Grove,1659,257,511,96,1,865,56,127,60,2,245,1110,
2,Polk,Cedartown,6205,408,1648,494,5,2555,260,712,414,2,1388,3943,
3,Polk,Fish Creek,2566,335,929,166,2,1432,78,189,94,0,361,1793,
4,Polk,Lake Creek,2828,373,1203,164,0,1740,63,233,90,0,386,2126,
5,Polk,Rockmart,5746,448,2215,332,2,2997,186,630,259,2,1077,4074,
6,Polk,Youngs Grove,1961,285,696,147,1,1129,57,121,56,0,234,1363,
