index,County,Precinct,Registered Voters,Jason Anavitarte (Rep)_Election Day Votes,Jason Anavitarte (Rep)_Advanced Voting Votes,Jason Anavitarte (Rep)_Absentee by Mail Votes,Jason Anavitarte (Rep)_Provisional Votes,Jason Anavitarte (Rep)_Choice Total,Tianna Smith (Dem)_Election Day Votes,Tianna Smith (Dem)_Advanced Voting Votes,Tianna Smith (Dem)_Absentee by Mail Votes,Tianna Smith (Dem)_Provisional Votes,Tianna Smith (Dem)_Choice Total,Total,
0,Polk,Aragon,3224,479,1185,212,3,1879,67,208,104,0,379,2258,
1,Polk,Blooming Grove,1659,276,549,104,1,930,37,102,51,2,192,1122,
2,Polk,Cedartown,6205,461,1722,518,5,2706,206,652,397,3,1258,3964,
3,Polk,Fish Creek,2566,371,999,179,2,1551,55,138,84,0,277,1828,
4,Polk,Lake Creek,2828,390,1278,180,0,1848,43,169,74,0,286,2134,
5,Polk,Rockmart,5746,482,2274,332,2,3090,151,570,255,2,978,4068,
6,Polk,Youngs Grove,1961,314,755,161,1,1231,37,79,50,0,166,1397,
