index,County,Precinct,Registered Voters,"Charles """"Chuck"""" Thaxton (I) (Rep)_Election Day Votes","Charles """"Chuck"""" Thaxton (I) (Rep)_Advanced Voting Votes","Charles """"Chuck"""" Thaxton (I) (Rep)_Absentee by Mail Votes","Charles """"Chuck"""" Thaxton (I) (Rep)_Provisional Votes","Charles """"Chuck"""" Thaxton (I) (Rep)_Choice Total",Total,
0,Polk,Aragon,3224,516,1277,238,3,2034,2034,
1,Polk,Blooming Grove,1659,300,588,120,3,1011,1011,
2,Polk,Cedartown,6205,601,2069,658,6,3334,3334,
3,Polk,Fish Creek,2566,398,1061,196,2,1657,1657,
4,Polk,Lake Creek,2828,413,1324,204,0,1941,1941,
5,Polk,Rockmart,5746,582,2553,455,2,3592,3592,
6,Polk,Youngs Grove,1961,327,784,165,1,1277,1277,
