index,County,Precinct,Registered Voters,Lewis T. Deweese (I) (Rep)_Election Day Votes,Lewis T. Deweese (I) (Rep)_Advanced Voting Votes,Lewis T. Deweese (I) (Rep)_Absentee by Mail Votes,Lewis T. Deweese (I) (Rep)_Provisional Votes,Lewis T. Deweese (I) (Rep)_Choice Total,Kathy Smyth (Dem)_Election Day Votes,Kathy Smyth (Dem)_Advanced Voting Votes,Kathy Smyth (Dem)_Absentee by Mail Votes,Kathy Smyth (Dem)_Provisional Votes,Kathy Smyth (Dem)_Choice Total,Total,
0,Fannin,Colwell,1105,281,293,118,0,692,23,48,81,0,152,844,
1,Fannin,Fairplay,1262,300,304,110,0,714,35,67,60,0,162,876,
2,Fannin,Flinthill,3202,620,772,337,2,1731,76,97,124,0,297,2028,
3,Fannin,Hemptown,1336,334,318,121,3,776,32,67,69,0,168,944,
4,Fannin,Hothouse,1290,264,357,126,6,753,16,69,82,0,167,920,
5,Fannin,Mineral Bluff,1817,329,574,213,0,1116,32,83,108,0,223,1339,
6,Fannin,Mobile,1160,296,275,123,0,694,32,41,44,0,117,811,
7,Fannin,Morganton,2067,454,560,234,2,1250,44,109,99,0,252,1502,
8,Fannin,Noontootla,839,170,223,122,0,515,25,47,58,0,130,645,
9,Fannin,Skeniah,331,111,58,41,1,211,9,17,23,1,50,261,
10,Fannin,Sugar Creek,2437,375,767,259,0,1401,34,149,147,1,331,1732,
11,Fannin,Toccoa,3553,470,1082,401,4,1957,59,222,177,0,458,2415,
