index,County,Precinct,Registered Voters,Johnny Scearce (Rep)_Election Day Votes,Johnny Scearce (Rep)_Advanced Voting Votes,Johnny Scearce (Rep)_Absentee by Mail Votes,Johnny Scearce (Rep)_Provisional Votes,Johnny Scearce (Rep)_Choice Total,Dixie L. Carter (Dem)_Election Day Votes,Dixie L. Carter (Dem)_Advanced Voting Votes,Dixie L. Carter (Dem)_Absentee by Mail Votes,Dixie L. Carter (Dem)_Provisional Votes,Dixie L. Carter (Dem)_Choice Total,Total,
0,Fannin,Colwell,1105,279,296,121,0,696,23,42,79,0,144,840,
1,Fannin,Fairplay,1262,315,307,114,0,736,23,65,59,0,147,883,
2,Fannin,Flinthill,3202,655,804,372,2,1833,60,84,101,0,245,2078,
3,Fannin,Hemptown,1336,340,331,119,3,793,31,60,68,0,159,952,
4,Fannin,Hothouse,1290,258,372,142,7,779,22,58,70,0,150,929,
5,Fannin,Mineral Bluff,1817,338,587,222,0,1147,23,69,104,0,196,1343,
6,Fannin,Mobile,1160,292,270,126,0,688,35,43,43,0,121,809,
7,Fannin,Morganton,2067,456,567,240,2,1265,39,107,95,0,241,1506,
8,Fannin,Noontootla,839,172,224,134,0,530,22,45,54,0,121,651,
9,Fannin,Skeniah,331,109,55,38,1,203,11,19,26,1,57,260,
10,Fannin,Sugar Creek,2437,388,793,271,0,1452,32,138,127,1,298,1750,
11,Fannin,Toccoa,3553,486,1109,424,3,2022,55,201,158,1,415,2437,
