index,County,Precinct,Registered Voters,Shelly J. Bishop (I) (Rep)_Election Day Votes,Shelly J. Bishop (I) (Rep)_Advanced Voting Votes,Shelly J. Bishop (I) (Rep)_Absentee by Mail Votes,Shelly J. Bishop (I) (Rep)_Provisional Votes,Shelly J. Bishop (I) (Rep)_Choice Total,Total,
0,Fannin,Colwell,1105,285,316,143,0,744,744,
1,Fannin,Fairplay,1262,308,329,127,0,764,764,
2,Fannin,Flinthill,3202,655,834,387,1,1877,1877,
3,Fannin,Hemptown,1336,347,353,149,3,852,852,
4,Fannin,Hothouse,1290,268,388,162,7,825,825,
5,Fannin,Mineral Bluff,1817,337,600,246,0,1183,1183,
6,Fannin,Mobile,1160,303,291,143,0,737,737,
7,Fannin,Morganton,2067,469,603,260,2,1334,1334,
8,Fannin,Noontootla,839,185,243,154,0,582,582,
9,Fannin,Skeniah,331,117,65,47,2,231,231,
10,Fannin,Sugar Creek,2437,388,848,302,1,1539,1539,
11,Fannin,Toccoa,3553,498,1188,483,4,2173,2173,
