index,County,Precinct,Registered Voters,Rita Newton (Rep)_Election Day Votes,Rita Newton (Rep)_Advanced Voting Votes,Rita Newton (Rep)_Absentee by Mail Votes,Rita Newton (Rep)_Provisional Votes,Rita Newton (Rep)_Choice Total,Total,
0,Fannin,Colwell,1105,293,325,142,0,760,760,
1,Fannin,Fairplay,1262,315,332,139,0,786,786,
2,Fannin,Flinthill,3202,680,840,387,1,1908,1908,
3,Fannin,Hemptown,1336,356,363,146,3,868,868,
4,Fannin,Hothouse,1290,267,389,165,7,828,828,
5,Fannin,Mineral Bluff,1817,348,611,264,0,1223,1223,
6,Fannin,Mobile,1160,311,300,145,0,756,756,
7,Fannin,Morganton,2067,478,610,273,2,1363,1363,
8,Fannin,Noontootla,839,186,245,161,0,592,592,
9,Fannin,Skeniah,331,118,66,50,2,236,236,
10,Fannin,Sugar Creek,2437,403,857,316,1,1577,1577,
11,Fannin,Toccoa,3553,512,1207,498,4,2221,2221,
