index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Fannin,Colwell,1105,285,298,125,0,708,27,47,73,0,147,2,3,4,0,9,864,
1,Fannin,Fairplay,1262,299,307,109,0,715,35,67,66,0,168,6,4,3,0,13,896,
2,Fannin,Flinthill,3202,641,794,339,2,1776,70,91,127,0,288,19,19,12,0,50,2114,
3,Fannin,Hemptown,1336,343,326,106,3,778,29,65,76,0,170,8,5,7,0,20,968,
4,Fannin,Hothouse,1290,266,366,129,7,768,16,62,78,0,156,4,6,6,0,16,940,
5,Fannin,Mineral Bluff,1817,342,580,224,0,1146,28,79,99,0,206,6,11,7,0,24,1376,
6,Fannin,Mobile,1160,297,264,136,0,697,31,48,40,0,119,11,9,1,0,21,837,
7,Fannin,Morganton,2067,450,569,233,2,1254,48,107,97,0,252,9,12,6,0,27,1533,
8,Fannin,Noontootla,839,173,226,120,0,519,20,47,61,0,128,4,1,2,0,7,654,
9,Fannin,Skeniah,331,110,54,41,1,206,9,19,23,0,51,5,3,2,1,11,268,
10,Fannin,Sugar Creek,2437,387,797,264,0,1448,27,143,133,0,303,10,8,12,1,31,1782,
11,Fannin,Toccoa,3553,477,1097,378,5,1957,43,202,182,0,427,29,24,17,0,70,2454,
