index,County,Precinct,Registered Voters,Chad Galloway (I) (Rep)_Election Day Votes,Chad Galloway (I) (Rep)_Advanced Voting Votes,Chad Galloway (I) (Rep)_Absentee by Mail Votes,Chad Galloway (I) (Rep)_Provisional Votes,Chad Galloway (I) (Rep)_Choice Total,Theresa (TC) Dillard (Dem)_Election Day Votes,Theresa (TC) Dillard (Dem)_Advanced Voting Votes,Theresa (TC) Dillard (Dem)_Absentee by Mail Votes,Theresa (TC) Dillard (Dem)_Provisional Votes,Theresa (TC) Dillard (Dem)_Choice Total,Total,
0,Fannin,Colwell,1105,256,268,112,0,636,56,72,84,0,212,848,
1,Fannin,Fairplay,1262,273,293,103,0,669,56,78,68,0,202,871,
2,Fannin,Flinthill,3202,533,690,295,2,1520,181,198,175,0,554,2074,
3,Fannin,Hemptown,1336,312,303,115,3,733,60,84,72,0,216,949,
4,Fannin,Hothouse,1290,238,327,113,6,684,45,104,99,0,248,932,
5,Fannin,Mineral Bluff,1817,296,517,205,0,1018,63,138,119,0,320,1338,
6,Fannin,Mobile,1160,255,246,113,0,614,78,75,55,0,208,822,
7,Fannin,Morganton,2067,402,507,215,2,1126,95,167,118,0,380,1506,
8,Fannin,Noontootla,839,164,218,124,0,506,30,52,59,0,141,647,
9,Fannin,Skeniah,331,107,55,38,2,202,13,21,26,0,60,262,
10,Fannin,Sugar Creek,2437,327,697,245,1,1270,88,227,161,0,476,1746,
11,Fannin,Toccoa,3553,413,968,366,3,1750,122,343,221,1,687,2437,
