index,County,Precinct,Registered Voters,Steve Gooch (I) (Rep)_Election Day Votes,Steve Gooch (I) (Rep)_Advanced Voting Votes,Steve Gooch (I) (Rep)_Absentee by Mail Votes,Steve Gooch (I) (Rep)_Provisional Votes,Steve Gooch (I) (Rep)_Choice Total,June Krise (Dem)_Election Day Votes,June Krise (Dem)_Advanced Voting Votes,June Krise (Dem)_Absentee by Mail Votes,June Krise (Dem)_Provisional Votes,June Krise (Dem)_Choice Total,Total,
0,Fannin,Colwell,1105,280,290,122,0,692,25,48,80,0,153,845,
1,Fannin,Fairplay,1262,296,308,110,0,714,28,64,63,0,155,869,
2,Fannin,Flinthill,3202,634,785,352,2,1773,65,89,124,0,278,2051,
3,Fannin,Hemptown,1336,339,319,119,3,780,29,66,70,0,165,945,
4,Fannin,Hothouse,1290,265,367,132,7,771,15,59,82,0,156,927,
5,Fannin,Mineral Bluff,1817,335,569,225,0,1129,27,76,103,0,206,1335,
6,Fannin,Mobile,1160,299,272,129,0,700,27,43,44,0,114,814,
7,Fannin,Morganton,2067,444,561,242,2,1249,46,109,95,0,250,1499,
8,Fannin,Noontootla,839,174,222,135,0,531,20,45,53,0,118,649,
9,Fannin,Skeniah,331,109,57,44,1,211,10,18,23,1,52,263,
10,Fannin,Sugar Creek,2437,387,782,270,0,1439,30,132,139,1,302,1741,
11,Fannin,Toccoa,3553,482,1100,390,4,1976,47,209,192,0,448,2424,
