index,County,Precinct,Registered Voters,Gary Usry (I) (Rep)_Election Day Votes,Gary Usry (I) (Rep)_Advanced Voting Votes,Gary Usry (I) (Rep)_Absentee by Mail Votes,Gary Usry (I) (Rep)_Provisional Votes,Gary Usry (I) (Rep)_Choice Total,Total,
0,Greene,Greensboro,3999,287,1388,449,5,2129,2129,
1,Greene,Union Point,1873,234,525,221,0,980,980,
2,Greene,Siloam,991,127,291,111,0,529,529,
3,Greene,White Plains,347,48,124,39,0,211,211,
4,Greene,Old Salem,6961,521,3756,1242,3,5522,5522,
