index,County,Precinct,Registered Voters,Joe Bashore (I) (Rep)_Election Day Votes,Joe Bashore (I) (Rep)_Advanced Voting Votes,Joe Bashore (I) (Rep)_Absentee by Mail Votes,Joe Bashore (I) (Rep)_Provisional Votes,Joe Bashore (I) (Rep)_Choice Total,Brandi Mayo (Ind)_Election Day Votes,Brandi Mayo (Ind)_Advanced Voting Votes,Brandi Mayo (Ind)_Absentee by Mail Votes,Brandi Mayo (Ind)_Provisional Votes,Brandi Mayo (Ind)_Choice Total,Total,
0,Greene,Greensboro,3999,56,349,88,2,495,43,144,76,0,263,758,
1,Greene,Union Point,1873,73,226,74,0,373,48,81,59,0,188,561,
2,Greene,Old Salem,6961,66,521,120,0,707,6,77,29,0,112,819,
