index,County,Precinct,Registered Voters,G. Michael Lynch (I) (Rep)_Election Day Votes,G. Michael Lynch (I) (Rep)_Advanced Voting Votes,G. Michael Lynch (I) (Rep)_Absentee by Mail Votes,G. Michael Lynch (I) (Rep)_Provisional Votes,G. Michael Lynch (I) (Rep)_Choice Total,Kim Smith (Dem)_Election Day Votes,Kim Smith (Dem)_Advanced Voting Votes,Kim Smith (Dem)_Absentee by Mail Votes,Kim Smith (Dem)_Provisional Votes,Kim Smith (Dem)_Choice Total,Total,
0,Greene,Greensboro,3999,147,889,215,0,1251,213,816,480,6,1515,2766,
1,Greene,Union Point,1873,124,350,100,0,574,176,297,219,0,692,1266,
2,Greene,Siloam,991,57,210,51,0,318,103,145,121,0,369,687,
3,Greene,White Plains,347,27,83,24,0,134,33,63,29,0,125,259,
4,Greene,Old Salem,6961,471,3495,1041,1,5008,68,519,435,3,1025,6033,
