index,County,Precinct,Registered Voters,Burt Jones (I) (Rep)_Election Day Votes,Burt Jones (I) (Rep)_Advanced Voting Votes,Burt Jones (I) (Rep)_Absentee by Mail Votes,Burt Jones (I) (Rep)_Provisional Votes,Burt Jones (I) (Rep)_Choice Total,Veronica Brinson (Dem)_Election Day Votes,Veronica Brinson (Dem)_Advanced Voting Votes,Veronica Brinson (Dem)_Absentee by Mail Votes,Veronica Brinson (Dem)_Provisional Votes,Veronica Brinson (Dem)_Choice Total,Total,
0,Greene,Greensboro,3999,159,961,220,1,1341,194,728,489,5,1416,2757,
1,Greene,Union Point,1873,135,368,111,0,614,148,272,210,0,630,1244,
2,Greene,Siloam,991,62,224,53,0,339,100,130,121,0,351,690,
3,Greene,White Plains,347,30,89,25,0,144,32,57,31,0,120,264,
4,Greene,Old Salem,6961,472,3476,1014,2,4964,70,548,483,2,1103,6067,
