index,County,Precinct,Registered Voters,Deborah D. Jackson (I) (Dem)_Election Day Votes,Deborah D. Jackson (I) (Dem)_Advanced Voting Votes,Deborah D. Jackson (I) (Dem)_Absentee by Mail Votes,Deborah D. Jackson (I) (Dem)_Provisional Votes,Deborah D. Jackson (I) (Dem)_Choice Total,Total,
0,Greene,Greensboro,3999,308,1401,621,6,2336,2336,
1,Greene,Union Point,1873,265,551,297,0,1113,1113,
2,Greene,Siloam,991,151,304,158,0,613,613,
3,Greene,White Plains,347,47,129,51,0,227,227,
4,Greene,Old Salem,6961,373,2682,987,4,4046,4046,
